Jahr,BIP pro Kopf (USD, Preise 2011)
1851,2444
1860,2934
1870,2954
1880,3869
1890,5309
1900,6612
1910,8048
1920,7364
1930,9969
1940,9802
1950,11541
1960,16358
1970,23479
1980,27406
1990,34250
2000,43251
2010,57219
2018,61373
